Post URL,Post publish date,Engagements
https://www.linkedin.com/feed/update/urn:li:activity:7186133998723592192,4/16/2024,110
https://www.linkedin.com/feed/update/urn:li:activity:7214279307504816128,7/3/2024,100
https://www.linkedin.com/feed/update/urn:li:activity:7224422809379184640,7/31/2024,88
https://www.linkedin.com/feed/update/urn:li:activity:7190473041745715201,4/28/2024,66
https://www.linkedin.com/feed/update/urn:li:activity:7217932518719664128,7/13/2024,53
https://www.linkedin.com/feed/update/urn:li:activity:7173354307528945664,3/12/2024,52
https://www.linkedin.com/feed/update/urn:li:activity:7214626731880542208,7/4/2024,49
https://www.linkedin.com/feed/update/urn:li:activity:7180916132806033409,4/2/2024,41
https://www.linkedin.com/feed/update/urn:li:activity:7183115485364781058,4/8/2024,34
https://www.linkedin.com/feed/update/urn:li:activity:7205013586216153089,6/8/2024,33
https://www.linkedin.com/feed/update/urn:li:activity:7188873803144343552,4/24/2024,32
https://www.linkedin.com/feed/update/urn:li:activity:7227310839307870210,8/8/2024,31
https://www.linkedin.com/feed/update/urn:li:activity:7138640874653040642,12/7/2023,31
https://www.linkedin.com/feed/update/urn:li:activity:7142240855448330240,12/17/2023,29
https://www.linkedin.com/feed/update/urn:li:activity:7240017125438885888,9/12/2024,27
https://www.linkedin.com/feed/update/urn:li:activity:7181681432283512833,4/4/2024,25
https://www.linkedin.com/feed/update/urn:li:activity:7147011518147002368,12/30/2023,24
https://www.linkedin.com/feed/update/urn:li:activity:7160473844632240128,2/6/2024,24
https://www.linkedin.com/feed/update/urn:li:activity:7217164256117452800,7/11/2024,23
https://www.linkedin.com/feed/update/urn:li:activity:7180544052822470656,4/1/2024,23
https://www.linkedin.com/feed/update/urn:li:activity:7202735924860854272,6/1/2024,22
https://www.linkedin.com/feed/update/urn:li:activity:7174022703262109696,3/14/2024,22
https://www.linkedin.com/feed/update/urn:li:activity:7204826913691811843,6/7/2024,21
https://www.linkedin.com/feed/update/urn:li:activity:7221909246836174849,7/24/2024,21
https://www.linkedin.com/feed/update/urn:li:activity:7159255065466126337,2/2/2024,20
https://www.linkedin.com/feed/update/urn:li:activity:7167163765342343168,2/24/2024,19
https://www.linkedin.com/feed/update/urn:li:activity:7155598545239117824,1/23/2024,19
https://www.linkedin.com/feed/update/urn:li:activity:7156750461465739265,1/26/2024,18
https://www.linkedin.com/feed/update/urn:li:activity:7208471154255118337,6/17/2024,18
https://www.linkedin.com/feed/update/urn:li:activity:7182061997247623168,4/5/2024,18
https://www.linkedin.com/feed/update/urn:li:activity:7151283241239400449,1/11/2024,18
https://www.linkedin.com/feed/update/urn:li:activity:7199539752096727040,5/23/2024,18
https://www.linkedin.com/feed/update/urn:li:activity:7211361495291473920,6/25/2024,18
https://www.linkedin.com/feed/update/urn:li:activity:7183910709406146563,4/10/2024,17
https://www.linkedin.com/feed/update/urn:li:activity:7197208390866010112,5/17/2024,17
https://www.linkedin.com/feed/update/urn:li:activity:7209939569008328704,6/21/2024,17
https://www.linkedin.com/feed/update/urn:li:activity:7215008514052628484,7/5/2024,17
https://www.linkedin.com/feed/update/urn:li:activity:7208800332728954880,6/18/2024,17
https://www.linkedin.com/feed/update/urn:li:activity:7190386740879138817,4/28/2024,16
https://www.linkedin.com/feed/update/urn:li:activity:7202034941730111488,5/30/2024,16
https://www.linkedin.com/feed/update/urn:li:activity:7218614768314527744,7/15/2024,16
https://www.linkedin.com/feed/update/urn:li:activity:7216090355446808577,7/8/2024,15
https://www.linkedin.com/feed/update/urn:li:activity:7218956279732416512,7/16/2024,15
https://www.linkedin.com/feed/update/urn:li:activity:7171494300034260995,3/7/2024,15
https://www.linkedin.com/feed/update/urn:li:activity:7197053367200739328,5/17/2024,15
https://www.linkedin.com/feed/update/urn:li:activity:7231650937415610368,8/20/2024,15
https://www.linkedin.com/feed/update/urn:li:activity:7181451956266160128,4/4/2024,15
https://www.linkedin.com/feed/update/urn:li:activity:7208977013322252288,6/18/2024,15
https://www.linkedin.com/feed/update/urn:li:activity:7186350692536569857,4/17/2024,14
https://www.linkedin.com/feed/update/urn:li:activity:7238934505397374977,9/9/2024,13
