Post URL,Post publish date,Impressions
https://www.linkedin.com/feed/update/urn:li:activity:7190473041745715201,4/28/2024,8767
https://www.linkedin.com/feed/update/urn:li:activity:7173354307528945664,3/12/2024,6752
https://www.linkedin.com/feed/update/urn:li:activity:7186133998723592192,4/16/2024,3354
https://www.linkedin.com/feed/update/urn:li:activity:7225147333431209985,8/2/2024,2656
https://www.linkedin.com/feed/update/urn:li:activity:7183115485364781058,4/8/2024,2170
https://www.linkedin.com/feed/update/urn:li:activity:7224422809379184640,7/31/2024,2156
https://www.linkedin.com/feed/update/urn:li:activity:7205013586216153089,6/8/2024,1985
https://www.linkedin.com/feed/update/urn:li:activity:7142240855448330240,12/17/2023,1774
https://www.linkedin.com/feed/update/urn:li:activity:7218614768314527744,7/15/2024,1757
https://www.linkedin.com/feed/update/urn:li:activity:7204826913691811843,6/7/2024,1711
https://www.linkedin.com/feed/update/urn:li:activity:7138640874653040642,12/7/2023,1640
https://www.linkedin.com/feed/update/urn:li:activity:7214279307504816128,7/3/2024,1289
https://www.linkedin.com/feed/update/urn:li:activity:7174022703262109696,3/14/2024,1263
https://www.linkedin.com/feed/update/urn:li:activity:7160473844632240128,2/6/2024,1051
https://www.linkedin.com/feed/update/urn:li:activity:7155598545239117824,1/23/2024,1048
https://www.linkedin.com/feed/update/urn:li:activity:7217932518719664128,7/13/2024,999
https://www.linkedin.com/feed/update/urn:li:activity:7180916132806033409,4/2/2024,973
https://www.linkedin.com/feed/update/urn:li:activity:7214626731880542208,7/4/2024,953
https://www.linkedin.com/feed/update/urn:li:activity:7151283241239400449,1/11/2024,939
https://www.linkedin.com/feed/update/urn:li:activity:7107784023036362752,9/13/2023,915
https://www.linkedin.com/feed/update/urn:li:activity:7190386740879138817,4/28/2024,911
https://www.linkedin.com/feed/update/urn:li:activity:7180544052822470656,4/1/2024,881
https://www.linkedin.com/feed/update/urn:li:activity:7155958517747634176,1/24/2024,868
https://www.linkedin.com/feed/update/urn:li:activity:7156750461465739265,1/26/2024,817
https://www.linkedin.com/feed/update/urn:li:activity:7217164256117452800,7/11/2024,797
https://www.linkedin.com/feed/update/urn:li:activity:7159255065466126337,2/2/2024,750
https://www.linkedin.com/feed/update/urn:li:activity:7175890686242623488,3/19/2024,743
https://www.linkedin.com/feed/update/urn:li:activity:7167163765342343168,2/24/2024,708
https://www.linkedin.com/feed/update/urn:li:activity:7181730609956827137,4/4/2024,676
https://www.linkedin.com/feed/update/urn:li:activity:7147011518147002368,12/30/2023,669
https://www.linkedin.com/feed/update/urn:li:activity:7174433075056025600,3/15/2024,650
https://www.linkedin.com/feed/update/urn:li:activity:7183476599499980802,4/9/2024,645
https://www.linkedin.com/feed/update/urn:li:activity:7177844565154910209,3/25/2024,633
https://www.linkedin.com/feed/update/urn:li:activity:7186350692536569857,4/17/2024,616
https://www.linkedin.com/feed/update/urn:li:activity:7183910709406146563,4/10/2024,610
https://www.linkedin.com/feed/update/urn:li:activity:7221909246836174849,7/24/2024,588
https://www.linkedin.com/feed/update/urn:li:activity:7196336026091438080,5/15/2024,577
https://www.linkedin.com/feed/update/urn:li:activity:7197208390866010112,5/17/2024,569
https://www.linkedin.com/feed/update/urn:li:activity:7216090355446808577,7/8/2024,568
https://www.linkedin.com/feed/update/urn:li:activity:7197053367200739328,5/17/2024,558
https://www.linkedin.com/feed/update/urn:li:activity:7082120579541000192,7/4/2023,557
https://www.linkedin.com/feed/update/urn:li:activity:7191061188238036992,4/30/2024,556
https://www.linkedin.com/feed/update/urn:li:activity:7223684120424448000,7/29/2024,553
https://www.linkedin.com/feed/update/urn:li:activity:7168964145604726784,2/29/2024,549
https://www.linkedin.com/feed/update/urn:li:activity:7227310839307870210,8/8/2024,544
https://www.linkedin.com/feed/update/urn:li:activity:7208471154255118337,6/17/2024,540
https://www.linkedin.com/feed/update/urn:li:activity:7188873803144343552,4/24/2024,538
https://www.linkedin.com/feed/update/urn:li:activity:7168277924863795200,2/27/2024,536
https://www.linkedin.com/feed/update/urn:li:activity:7193993719958667264,5/8/2024,535
https://www.linkedin.com/feed/update/urn:li:activity:7236725850132353024,9/3/2024,529
